src	count	type	dst	words
ч	59	cyrillic		чтоб чулде гичьед йичердиш чир что чел чурдыбыр ученик) лойчир спичкаймыкан сечур значит] начать? начнём лючир гырче значит], лечур гекьечуйне чего эвчур фактически] хьевчуйне обычно кичирдиш эгъеч1ур спичкаед заключительные чтобы участник чутбыр эчур Значит] начала начальных Горячий удачно что] пыч спичкабыр чейлахьа
ж	56	cyrillic		азербайджанский саджиг1ил джу джуды Азербайджан джи дождя. джадалгад джигий джу\\ положила видж джигьил азебайджанский тоже джиг1илед юдж "уже" джер джус дождь джёр Азербайджана джугьул джибра дождь, къаджир джура саджигий уже рождения джукан ыыджигий жизникан джига жарим
п	51	cyrillic		спасибо первый специально капыр капыракан проиграт спор пфф пол- вступительные спичкаймыкан "пьяна" положила пророк кепейухьли туп сиптыр полугодавалый пир "пьяный" потом лупхас Инспектор проверка лупхур спичкаед аспахин кипхьыйне инспекторский спокойно типа, прямо письменность, сипхьуйне лап пыч перевал. спасат по-русски компания. пенсионат корпус спичкабыр
1	50	cyrillic		кьва1р саджиг1ил ра1к1на к1иркьыр та1бир кьа1ба къы1не mɨlʲa1ʔat г1а минку1м кьа1баъ г1/гьымыъ г1аъара му1къа г1ыкысе джиг1илед mɨslʲa1ʔat к1ыды му1к1а1 магьа1раба к1аъды саргьа1тбыр эгъеч1ур bo1bodid му1к1а1ды му1къуд сиг1ыд мык1а1рыш ыг1/гьыр г1акуйне къы1йид gi1χar г1ай χ1ibɨd йирк1ыр кьа1ба, выг1ыл
э	30	cyrillic		эми эгъидхуйне эвчур экед эквийир этого экулбыр эмисад экул эгъеч1ур гьэми этом эмид эбыр эдеми эхир эчур это это] этот эдемийра эминув
ю	17	cyrillic		вмешиваю, юдж отсюда знаю сюдкьуйне лючир заключительные дюлкьера сюдулкерий сюда
ц	17	cyrillic		йицыр цакьараг специально кывылцардиший йицыд цихил отец солнце ящерица къацырдиш
ё	10	cyrillic		верё\\ идёт джёр ещё верёвкой начнём всё
ф	8	cyrillic		фитна пфф фикыр селф\\ фактически] график зарафатбыр
Л	3	cyrillic		(Лера, (Лера:)
Р	2	cyrillic		Рутульский Рамазан
Х	2	cyrillic		Хватит? Харарзада
И	1	cyrillic		Инспектор
Ц	1	cyrillic		Целый
Э	1	cyrillic		Это
П	4	cyrillic		Последовательно По-вашему. Польше Первый
Д	3	cyrillic		Да, Давайте. Давай
Я	1	cyrillic		Я
Н	3	cyrillic		Наоборот, Ну На
[	49	delimiter		[jiij...], [had?] q[ɨrgara], [me [mib...] [...] [χana...] kala[ʁaj], [wse] [tu...] [...]. [tinʲa [χuˤlʲaχa [нрзб] [mid]. [ma...] [R [ǯi...] [unclear: [ruu...] im[R] [ǯudɨ]
]	48	delimiter		q[ɨrgara], вот] χukaχda] [mib...] [...] kala[ʁaj], [wse] или] значит] [...]. это] [нрзб] [mid]. [ǯi...] значит], [ruu...] im[R] [ǯudɨ] miʔ]. он] [jiij...], внимание.] фактически] [had?] а] наоборот,] и] [χana...] и...] [tu...] Значит] что] дальше] [ma...] А] gidiqʼɨra]
<	7	delimiter		<nrzb> <mada <χuʔgeheč'ur?> <self <?> ???<misa
>	7	delimiter		<nrzb> repair> <χuʔgeheč'ur?> kuχur> <?> uquχur>
*	5	delimiter		***) xujne* g*al
(	37	delimiter		(xa?) (jiq'a), (тут (vot), (ʁ)reč'ur (aʔ) (cat'bɨr e(?) (Лера, (aʔ ...(?) (миъ (wijaʔ (tʼa...) je(da) (laʔ?) (в (nazile игит( (xur) (йид) (nu?) здесь(?) (= (wuruura). (...) (ruʔud) (?) (телебе (slowa (са) (йиъи) (Лера:) (xur ede(mi)... (naverh)
=	239	delimiter		hišir=xʷa, liʔirxur=xʷa saχɨne=xʷa, ʁara=xa damašnij=ka, χɨlabɨr=xa nin=xa, hawɨr=xa lipxur=xa uʁal=kade hišijne=xa, kixis=xur raʔara=xʷa. huχut'i=xʷa, wuruʔurij=xʷa leqirxurdiš=xa. kasibar=ka ixiraj=xʷa, a=xʷa, lukud=xʷa wuʁagara=xʷa, ɢarinene=na setχɨr=xwa. sakar=xʷa, susus=xa had=xa saχɨr=xʷa, nišij=ka qiʁitxur=xʷa xujne=xa, jip'q'ɨra=xʷa. xur=xa. χamaba=xwa abgɨr=xʷa, duχ=xa babaj=xa waχtije=xʷa Вad=xa rešerij=xʷa Гьawɨr=xa hile=jden kičdilkara=xʷa irxur=xʷa, riʔij=xʷa, xur=xʷa χaj=xʷa, ruʔura=xʷa bustande=xa musulman=xa qarɨʔɨr=xʷa, Зɨ=xa habɨr=xʷa haasa=xa xur=xʷa, ruxarij=xʷa, xur=xwa... tinmɨd=xa χač'irχɨr=xʷa walɨg=xa ruxara=xa, ɢušim=xa qiq'asɨ=xur, оказывается=xʷa i=xʷa. dɨgɨrgarij=xʷa, ruxʷara=xa. kiχɨr=xwa, sutkür=xʷa, a=xʷa lipxur=xʷa, hušer=xa rišir=xʷa. dɨxɨjne=xʷa wazir=xʷa xur=xwa. riʔij=xʷa diʔij=xʷa, gjarɨrɢama=xwa, daʔarij=xʷa, hɨʔɨraj=xʷa raˁʁɨr=xʷa χaldɨ=ka. lüzür=xa aj=xʷa ixdɨ=xa zas=xa duruʔura=xa. xur=xʷa. dišir=xʷa. wuʁara=xʷa, dišijne=xʷa dišir=xʷa qilšir=xʷa aj=xʷa, wiširdiš=xʷa, χamaba=xwa. χač'irχɨjne=xʷa, ʁaʔ=xa wuʁara=xʷa maddɨbɨr=xa. ʁargʷara=xʷa, qac'ara=xʷa, waχtɨje=xʷa, Мibišda=xa surukladɨbɨr=xa, hildɨga=xa ʁaʔ=xʷa qiʁitxur=xa, ʁaj=xa razi= zad=xa hɨxɨr=xʷa, gʲaɢama=xʷa wiʔi=xa. zamaninde=xa wiʔij=xʷa. huʁal=qade. jiʔij=xʷa luzur=xʷa uu=xa. xur=xwa huxur=xwa. hišit'i=xʷa lukur=xʷa. xur=xa lešur=xʷa χɨnimer=xa ij=xʷa, dišir=xa sus=na hawɨr=xʷa, telman=xa hɨʔɨr=xwa kar=xa zɨ=xa lirxur=xa gjarɨrɢarij=xʷa. jakʷ=na war= had=xʷa paččaʁ=na maada=xʷa naˁχan=xa surukladɨbišdɨ=xa i=xur dɨxɨr=xʷa, оказывается=xa Гьɨmɨʔ=xa adgɨr=xʷa haʔarij=xʷa xur=xwa, ledqine=xa wazir=xa jɨʁa=xa Сetχɨr=xwa duruʔurij=xa. wišir=xʷa. xur=xabɨga оказывается=xa, nine=xʷa ʁubʁu=xa jazna=na qʲawad=i i=xa waʔas=xur ruʔura=xʷa, daˁʔwi=xʷa, hišir=xʷa uu=xa (= hɨʔɨr=xwa. ɢüšimara=xʷa hɨʔɨr=xʷa, xur=xa, lurkara=xa, raˁʁad=xa ɢari=na ɢarinene=xa huxur=xwa,
?	76	glossing		(xa?) Ustala? wišir\i-ma? χʷa? ma\?ga geRira\?g e(?) ha?arij <?> ima? la? eɣeč'ur? was? liwijne?), saʔ? mawa\?g Хватит? начать? haʔasdɨ? un? дыгараа?" ...(?) wada? šuw? wii? A? molitwɨ?) mi? ??? nin? ham\i-? (laʔ?) [had?] haama\?g hu\?g h\i-m\i-? sa\?g šiwi? ? ha\?gasijden mi\?g (nu?) lav\?g\i-r здесь(?) сторону? ???<misa haʔasɨma? riširama? h\i-w\i-dʲaq'u\?g wuru\?gura ti\?g la\?g (?) hac'ar\i-ma? ha?ara xur? Ra\?g <χuʔgeheč'ur?> kar?
:	19	replace	ː	ha:sa ma:had a:lad huχurχaj: waara: a:ladhʷa χala:d ǯigɨj: χulkara: diš: ma: (Лера:) [unclear: a: wa:
щ	5	cyrillic		ещё ploщadka, ploщadka ящерица wozwraщatь
М	5	cyrillic		Мухамад Мibišda=xa Мирзахан Мирзахана Мuˤɢuˤd
В	3	cyrillic		Вad=xa Вот
З	2	cyrillic		Значит] Зɨ=xa
,	754	punctuation		hɨʔɨdbajdɨ, hišir=xʷa, diʔi, qʼasdɨ, susuχda, nin=xa, raziwald\i-, huʔuna, bobodidɨs, huχut'i=xʷa, q'eldɨ, dišir, liwxij, leqʼečʼud, hɨɨdbaj, saχɨr=xʷa, aaraj, qɨdxɨr, xujne=xa, lešur, dewrindɨ, waʔagaxʷa, ǯilǯilim, byvaet, sɨq'ɨdʲaquʔ, jiʔi, gʲaɢɨr, telebe, lewšur, adišd\i-, riʔij=xʷa, qɨʔɨr, ruura, jiq'ɨr, gʲaqʼɨr, haja, hijiχda, qiq'asɨ=xur, kitxʷaj, )арака, riʔi, dɨgɨrgarij=xʷa, liwijne?), jazna, habɨr, wa, riši, ad\i-š, Наоборот, mibišikan, keqʼlitʼir, südq'ɨra, haʔxʷa, hɨgatʼi, diʔij=xʷa, gjarɨrɢama=xwa, daʔarij=xʷa, leqečʼujne, хватит, q'asdɨ, argɨr, письменность, deduškaes, ruʔut'i, wezari, jidʁɨr, insanadšdɨ, бадана, Mirzaχaɨs, (vot), χana, iddɨ, misa, qac'ara=xʷa, ban, aqʼʷɨɨr, kixir, hetin, lɨʔɨr, значит], awɨr, gʲaɢara, zad, rišira, delajet, biʔira, hišiga, hawɨr=xʷa, heeeej, jišine, (jiq'a), jiʔe, jirq'ɨr, baba, leqečʼur, χaraʔari, hɨˤχdɨ, k'ɨb, wišira, xur, kiǯikad, qɨwɨjne, abʁurij, ima, paččahašda, suzmaud, qʼak, kef, jed, ватан, hɨkɨsɨ, haj, диъи, quʔ, wii, seqečʼur, ʁeqeč'ur, liwxir, hawɨr, waʔara, Haj, dɨq'ɨrq'ara, gag, hišidʲaquʔ, ǯilɨs, laʁɨr, edemi, luquzur, huxur=xwa, skazka, mesjaca, mal, damašnij=ka, jiɣc'ɨr, hanowɨs, ʔi, uboršʲitsawalikun, rɨˁχɨra, hišijne=xa, qapǯej, xele, ixiraj=xʷa, duruʔurij, tʼak, haara, lečʼur, dɨxɨr, sen, wɨʔɨr, hukur, cʼaj, были, plow, ab\i-rl\i-, mija, типа, ač'ipxa, walɨg, keʁijir, jeχɨr, irxur=xʷa, вот, gʲaɢama, haʔasadbišdɨ, haarij, gedɢir, gedɢira, eqečʼu, xurxʷa, acʼɨranijii, sewčʼur, setir, jiχir, gʲaqʼɨd, qawɨɨr, rodstvenniker, lawurt'ura, siphurixe, ǯilis, kiχɨr=xwa, suqʼur, kar, irajχän, такой, gedeɢxurxʷa, čuldja, lipxur=xʷa, haˤɢ, gadijed, fartʼukʼ, sus, man, iqixir, akoetara, ij, jišir, sirgara, duχ, sedʁür, ruʔurdiš, sečuˤr, q'irk'ɨr, ruʔuri, aj=xʷa, gʲaʁɨr, χač'irχɨjne=xʷa, minowa, adiš, q'aʔara, hutxʷaj, χɨnimer, qidq'ɨr, ɢušim, amadišna, aniʔi, wiχɨr, ʁad, hargujne, edemijera, oj, hɨʔɨr, Azerbajǯan, завершается, ruxarij, ej, did, ij=xʷa, subq'ura, ǯigɨj, jii, leqešur, šuw, leqeršur, i, dülqera, dɨxɨr=xʷa, dišijxʷa, ǯɨgɨj, sartara, rišijne, iwilxera, waara, χɨle, ʁukujne, liwχir, spirt, hɨgadi, да, saždɨji, dišine, cʼeja, gaˤšdɨ, jiχera, qiiga, hɨwɨr, mada, daˁʔwi=xʷa, hɨgardɨš, ponʲatno, haa, aga, jiq'era, lahɨr, qudʁuˁra, aqɨɨr, ploщadka, χɨnχɨra, jakʷas, lurkara=xa, eqečʼur, qɨwɨlc'ara, saχɨne=xʷa, sitxujnexʷa, ʁagʷara, ratχarij, q'ad, qɨtxɨne, lipxura, jɨʁɨrmɨd, a=xʷa, wuʁagara=xʷa, tʼaka, sakar=xʷa, karzina, jɨˤʁ, χuk, u|rxud, haburʁan-baburʁan, lukur, ʁagʷardišij, ǯuu, abgɨr=xʷa, ǯukan, luʁujnexʷa, šuwna, ruχara, liqiwxir, lart'ura, rɨˤqʼaˤ, χaˤlʲaxʷa, χajma, kowχa, Uraza-bajram, χaj=xʷa, qʼaˤtχɨˤr, hudxutʼixurxʷa, agɨne, jiq'ir, hubgaj, zaχda, šɨw, hɨʔir, ma|Rʷ, h\i-\i-r, biir, xur=xʷa, ruxarij=xʷa, miʔ, haʔad, waχtinde, gospitale, ruxara=xa, lewšus, rɨš, tiь, qʼaˤsdɨ, hɨxɨr, mitinbɨrxʷa, lilχera, hɨɨr, wallaʔ, howgur, [jiij...], xurxa, sitxur, ɨˤwχɨˤr, jalow, seqʼečʼur, hanowdɨ, qiriš, waχɨrijden, wiširdiš=xʷa, dagulɨdi, ruʔura, babaj, naˁχan, q[ɨrgara], liwirχera, sepej, ʁargʷara=xʷa, jet\i-r, haqʼxurxʷa, hanowus, diši, waχtɨje=xʷa, surukladɨbɨr=xa, jiijden, babaje, qiʁitxur=xa, Да, hawɨrajxa, jaʁara, dɨq'ɨrq'atixʷa, hɨʔɨdʲaquʔ, silχera, "waʔ, tinʲa, mid, haˤtχɨˤr, q'el, madaniʔi, lešudid, χulk'ara, ruʔusɨ, ǯesuqwaj, qiq'asɨ, χud, wɨlcʼara, hɨɨjne, mibɨr, dišijne, zapomni, kʲaqlɨʔɨr, armenin, welosipeda, momenta, qʼaara, liwχidʲaquʔ, kande, quc'ur, xʷa, ʁaʔ, улей, wiilera, wɨr-wɨr-wɨr, tiʔ, šalbɨr, Azerbajǯana, wiʔi, qaʔara, xuwad, juše, ara, ǯehilešdɨ, tɨχɨr, оказывается=xa, wɨlc'ara, оказывается, jik'ʲaudχur, χɨnχɨrɨ, nes, utxujne, hargʷara, waʔarij, huxura, ledübʁürij, jɨˤwχɨˤr, uu, riʔinaʔa, u, hɨʔɨr=xʷa, waʔasɨ, ʁedgüne, jirqʼɨr, haˤrχɨˤr, q'ɨla, q'war, huš, gʲahɨrne, waʔ, wišir, jiʔiga, gine, χɨˤr, diʔij, t'at'al, duruura, Idɨlʲ-adxa, misad, haʔarij, ruurd\i-š, lebčura, badana, waxtinde, наоборот,] daʔat'ij, saʔ, ǯalgɨr, дождь, hɨχɨr, ruxaraxʷa, dɨkɨsɨ, hagujne, ǯigij, gɨˤrχɨˤr, ǯɨgad, ruxʷara, duruʔura, aqʼɨɨr, кьа1ба, leqʼečʼur, hišir, hišira, kɨšniš, a, hemidduqun, maˤlimara, qarɨʔɨr=xʷa, wisira, kiwɨχara, qʼawɨɨr, χač'irχɨr, waʔa, hawɨdʲaquʔ, gruzin, sutkür=xʷa, xɨdɨlnowa, riiga, ruxara, xa, saqahur, šuwdɨ, χɨnɨχ, eqečʼujne, Hej, haasa, qawaʔara, qaraʔara, wuʁara=xʷa, giǯirxara, si, laʔara, jirqʼɨrijden, вмешиваю, diš, hargur, qʼɨwɨjne, qiʁipxura, sač'ipxa, jišidilaqu, mibišiχda, acʼɨd, χaqɨna, hɨxɨr=xʷa, hatʼi, haʔarijxʷa, xelekande, haʔasɨ, qɨwɨrne, arɨrgara, ну, lixir, lat'ur, jiχɨˁr, xurχa, ruxʷaraxʷa, juǯ, dibir, riširama, haʔara, luwkur, huc'ur, tine, χɨˤrbɨr, (Лера, rodstvenniki, kala[ʁaj], было, wkusnɨj, waʔasijden, xur=xwa, jirqʼɨjne, wurχaga, qɨxɨr, xujne, qɨɨr, Nizir-baba, xibɨr, haǯargʷad, qidina, patom, ruʔura=xʷa, χɨˤrbɨrad, paččahaχda, χukala,χɨˤrbɨr xur=xa, sabʁura, dišij, edübʁürdišij, aara, hɨʔɨne, deduška, Allaχ, arɢɨr, χowɨrɢara,
.	741	punctuation		dahar. karzinae. lilxera. tʼak. hɨkɨsɨ. jiij. hɨʔɨr. raʔara=xʷa. dišij. leqirxurdiš=xa. juǯ... Waʔ. Xajir. surukladɨbɨr. bagažnik. kar... ...(?) gehipxura. setχɨr=xwa. dülqera. šuwruura... qasɨr. sejira. neno... saˤqaˤbhura. madaniʔi. diš. ixujne. kaldɨ... xus. haʔat'ij. qoˤʁoˤra. [χana...] xur=xa. hɨʔɨbɨr. no... aχarij. sedübʁurdišij. wuruʔura. χukala). kardis. hiqwirgarij. miʔ... ʁagʷaddišij. etot... kʲaqʼlaaraj. Xujne... hawɨr. hajila... eqijir. χuka. ʁowurgʷara. jitʼqʼɨr. χɨˤrbɨr... jiχeˁra. i=xʷa. haj. [...]. argara. haʔara. oj... ... [ǯi...] [ruu...] ʁagujne. sirgara. ruxura. q... [jiij...], adiš. haˤrχɨˤr. jirq'\i-r. qʼüdhüra. xur=xwa. ǯɨwɨr. išuw. sečur. hɨkɨsijden. ʁaʔ. aqɨɨr. χaldɨ=ka. ara. diʔixʷa. xur=xʷa. mabdiš. dɨkɨsijden. uu... i. компания. χamaba=xwa. Аа. wɨʔɨr. awurʁurij. gadi... habišda. hac'ara. maddɨbɨr=xa. rɨˤɢaˤ... gitʼɨd. χɨˤb... qʼaˤrχɨˤr. xele... iles.) d... rɨˤɢ... gʲaqʼɨr. ɢudar. qudhura. tɨbč'imɨ. lowɨrkɨr. kumag. tiʔ. laˤjirχara. a. jišine. wiʔi=xa. hammeše. lewšur. wiʔij=xʷa. huʁal=qade. uu=xa. minuw... susdɨ... had. rangakʲ. haʔari. xa. kirxad. howuˤrhara. xʷa. kirx... kaldɨ. qaˤtχɨˤr. qiina... keʁi... walgad. χɨlijexʷa. cʼihiχda. (...) (wuruura). qʼuˤdʁuˤra. šiwijden. dii. ha... gdeta... маде... ede(mi)... χɨˤrbɨr. . qɨwɨr. kʲaqlawad. дождя. dumaju... χ... qawɨɨraj. nu... min... muˤɢ. surubq'urij. rii. xujne. hagʷara. luwurkara. kuda. mid... wiilera. wišir=xʷa. sipxura. xur. edemi. gʲaʁɨne... juš... haʔarajden. gɨˤrɨpχɨˤra. hišir. hɨʔɨr=xwa. χɨle...) daˁʔwija. riid. xibnowɨs. haaraj. luwkur. χɨle. mmm... hagur. ejirgara. paččahad... minowdaa... aʁabχura. raˤɢ... условно. hanowdɨ. qʼak. lurkara. raˤq. saˤbhüra. wse. [mib...] Давайте. qaardiš. bɨχče... mabdišdɨ. kina. nine... wiʔi. hanowus... kišixda. etim. lukur. hana. leqirir. čʼelikʷan. jerxur. ǯudubɨr. saˤhuˤra. tiʔ... mu|q'a... kʲaʔara. jidqʼɨr. quʔ... jip'q'ɨra=xʷa. edejmijed. jii. gʲaqaɢardiš. hišira. По-вашему. paččahada. cʼiʔ. qirqʼɨr. aniʔi. абыр... hutxutʼixur. agɨr. klassad. momenta... qawaʔara. gruzin... вода. quʁuˁra. lat'ur. ani. saʔ. huruʔura. riq'iraman. [...] waaraj. xur=xwa... sus. haara. ǯibra... sienabɨr. ruʔura. silχera. ruxʷara=xa. süd... ahabʁura. jiijden. ubli... kinoeχda. dišir. (tʼa...) insan. rišir=xʷa. ma. maan. algara. x... niʔijid. on. luw... latʼur. eχir. lebčura. perewal. xed. bobodid. zapomni. duruʔura=xa. wiʔij. dišir=xʷa. ʁaǯagujne. nekʲah. hun. lʲaqʼaˤbhuˤra. ʁamadiš. bobodid... ad... и.. laχara. wiʔixa. ijulʲ... rɨš. hawɨr... waara. nes... uu. wɨgara. qaχɨraj. tin. welosipedakan. dawat. cʼihikʷan. kʲaaraj. умер. tʼaka. qɨwɨlcʼara. litxur. ruʁudbɨr... naq'. miʔ]. vot. rɨgɨrgara. laʔara. jiʔi. ɢarinene... гьая... kʲaqlawaraniwii. χɨnɨχ. qɨʔɨr. lixir. ad. huxur=xwa. kʲaʁʷaara. lukur=xʷa. madiš. и...] hɨgatʼi. [tu...] jišira. misa. qʼʷaˤb. qaʔara. jišinexa... xaanijii. ilera. zɨ... xibnowus. χalɨχdanabaj. waʔara. [ma...] ǯudu. ruxʷara. xud... madišij. gjarɨrɢarij=xʷa. liqixir. haaranijii... наливали. maʔardiš. rurura. uš... hɨwɨraj. har... waχtinde. zas. qühüra. ruxara. hac'aradiš. [mid]. insanar. waχtinde... daže... wiʔi... ixdɨ... mid. ǯigɨj. duruʔurij=xa. aʔara. χač'irχara. wiširaj. внимание.] xaʔxʷa. гьятхыр. duruʔura. χɨˤr. tiь. haarij. ruxaraxʷa. q'irq'\i-r. было. etek. kʲahɨɨdeka. ʔi. kʲaqlawara. dɨwɨlcʼara. hɨɨra. ejirgara... hɨwɨr. maddɨ... перевал. šahadwalikan. welosipedas. χana. hilʲatχɨˤrijden. giǯ.
)	37	punctuation		(xa?) (jiq'a), (vot), (ʁ)reč'ur (aʔ) здесь)мида e(?) iles.) ученик) )арака, liwijne?), ...(?) waχt) h)aʁowus molitwɨ?) (tʼa...) je(da) mibɨr) (laʔ?) (xur) (йид) (nu?) здесь(?) χukala). ***) (wuruura). χɨle...) (...) (ruʔud) (?) (са) (йиъи) (Лера:) ede(mi)... слова) (naverh)
/	35	punctuation		na// lɨzɨ// xub// ыг1/гьыр // zɨ// a// jak// г1/гьымыъ / s// min// al// xu//
"	28	punctuation		пьяный "уже" "раз" hɨradi" "o hɨkɨsdɨdišij" "давай" "зад "пьяна" "a χakaq'" kurmasɨn" дыгараа?" свидания" "до "esli "waʔ, "šuw qurʁusdiš"
!	4	punctuation		большое! xur! guzel!
\	0	delimiter		
-	0	delimiter		
;	1	punctuation		1
'	ʼ	replace	0	
